labeling_set_id,label,id,title,authors,venue,year,source
0,0,conf-sigmod-AbadiC02,Visual COKO: a debugger for query optimizer development,"D Abadi, M Cherniack",SIGMOD Conference,2002,dataset1
0,0,f2Lea-RN8dsJ,Visual COKO: a debugger for query optimizer development,DJ Abadi,"SIGMOD Conference,",2002,dataset2
0,1,conf-sigmod-AbadiCCCCEGHMRSSTXYZ03,Aurora: A Data Stream Management System,"D Abadi, D Carney, U Çetintemel, M Cherniack, C Convey, C Erwin, E Galvez, M Hatoun, A Maskey, A Rasin, A Singer, M Stonebraker, N Tatbul, Y Xing, R Yan, S Zdonik",SIGMOD Conference,2003,dataset1
0,1,eBnT7lhV2LwJ,Aurora: A Data Stream Management System (demo description),"D Abadi, D Carney, U Cetintemel, M Cherniack, C  ",Proceedings of the 2003 ACM SIGMOD Conference on Management ,0,dataset2
0,1,gBVNSFeS4P8J,Aurora: a new model and architecture for data stream management,"DJ Abadi, D Carney, U Ã?etintemel, M Cherniack, C  ","The VLDB Journal The International Journal on Very Large  &hellip;,",2003,dataset2
0,1,VuY9Y49GqXgJ,Aurora: A Data Stream Management System,"DJ Abadi, D Carney, U Cetintemel, M Cherniack, C  ",0,0,dataset2
0,2,conf-sigmod-AbiteboulBCMM03,Dynamic XML documents with distribution and replication,"S Abiteboul, A Bonifati, G Cobena, I Manolescu, T Milo",SIGMOD Conference,2003,dataset1
0,2,AxpQwgyRyLgJ,Active XML Documents with Distribution and Replication,"S Abiteboul, A Bonifati, G Cobena, I Manolescu, T  ","ACM SIGMOD,",0,dataset2
0,2,Rjb06zlxbLIJ,Dynamic XML documents with distribution and replication,"S Abiteboul, A Bonifati, G Cobena, I Manolescu, T  ","SIGMOD Conference,",2003,dataset2
0,3,conf-sigmod-AbiteboulCM95,A Database Interface for File Updates,"S Abiteboul, S Cluet, T Milo",SIGMOD Conference,1995,dataset1
0,3,4GT0Krd9RP0J,A database interface for le update,"S Abiteboul, S Cluet, T Milo","SIGMOD,",0,dataset2
0,3,cu9DXtjeF24J,A database interface for file update - group of 2 &raquo;,"S Abiteboul, S Cluet, T Milo","Proceedings of the 1995 ACM SIGMOD international conference  &hellip;,",1995,dataset2
0,3,DakOA4Ew-poJ,A Database Interface for Files Update. To appear:,"S Abiteboul, S Cluet, T Milo","Proc. ACM SIGMOD International Conference on Management of  &hellip;,",0,dataset2
1,0,conf-sigmod-AboulnagaC99,Self-tuning Histograms: Building Histograms Without Looking at Data,"A Aboulnaga, S Chaudhuri",SIGMOD Conference,1999,dataset1
1,0,WWaxLMIptTMJ,Self-tuning Histograms: Building Histograms Without Looking at Data,"A Aboulnaga, S Chaudhuri","SIGMOD Conference,",1999,dataset2
1,0,xnDzelm2t1QJ,Self-tuning Histograms: Building Histograms Without Looking at Data,"AA AC, S Chaudhuri",Proceedings of the ACM SIGMOD International Conference on ,0,dataset2
1,1,conf-sigmod-AcharyaAFZ95,Broadcast Disks: Data Management for Asymmetric Communications Environments,"S Acharya, R Alonso, M Franklin, S Zdonik",SIGMOD Conference,1995,dataset1
1,1,_-yXA5HLnqoJ,Broadcast disks: Data management for asymmetric communications environments,"SA VI, R Alonso, M Franklin, S Zdonik",Proceedings of the ACM SIGMOD Conference on Management of ,0,dataset2
1,1,0lAHCM-lcjIJ,Data Management for Asymmetric Communication Environments,"S Acharya, R Alonso, M Franklin, S Zdonik, B Disks","Proc. ACM SIGMOD Conf., San Jose, CA, May,",0,dataset2
1,1,2fO9nM2FoGYJ,Broadcast Disks: Data Management for Asymmet-0 20 40 60 80 100 Percentage of DONT_CARE ImpLimit  ,"S Acharya, R Alonso, M Franklin, S Zdonik","ACM SIGMOD,",0,dataset2
1,1,cHxtmO9talkJ,Broadcast disks: Data management for asymmetric communications environments,"SA PI, R Alonso, M Franklin, S Zdonik","Proceedings of ACM SIGMOD conference, San Jose, CA, May,",0,dataset2
1,1,clF04MGcPSUJ,Broadcast Disks: data management for asymmetric communications Environment. ACM SIGMOD Int,"S Acharya, R Alonso, MJ Franklin, S Zdonik","Conference on Management of Data (SIGMOD 95), San Jose, CA,",0,dataset2
1,1,GOguWgH6D_UJ,"Broadcast disks: data management for asymmetric communication environments, University of Maryland  ","S Acharya, R Alonso, M Franklin, S Zdonik","MD,",0,dataset2
1,1,h2z51QPXcSkJ,Broadca. rt l) ikr: data management for uymmetrir communications Environment,"S Acharya, R Alonso, MJ Franklin, S Zdonik",0,1995,dataset2
1,1,rO4-yA3tlfoJ,Broadcast Disks: Data Management for Asymmetric Communication Environments,"S Acharya, R Alonso, M Franklin, S Zdonik","SIGMOD Conference,",1995,dataset2
1,1,y74PIIvb_GMJ,Broadcast Disks: Data Management for Asymmetric Communications Environments,"S Achary, M Franklin, S Zdonik, R Alonso","Proceedings of the ACCM SIGMOD International Conference on  &hellip;,",0,dataset2
1,1,ZdWKBKSoMUQJ,Broadcast disks: Data managementfor asymmetriccommunications environments,"S Acharya, R Alonso, M Franklin, S Zdonik","Proceedings of the ACM SIGMOD International Conference on  &hellip;,",0,dataset2
2,0,conf-sigmod-AcharyaFZ97,Balancing Push and Pull for Data Broadcast,"S Acharya, M Franklin, S Zdonik",SIGMOD Conference,1997,dataset1
2,0,9OEjtHuRUzsJ,Balancing Push and Pull for Data Broadcast,"S Acharya, M Franklin, S Zdonik","SIGMOD Conference,",1997,dataset2
2,0,FDPwbRQbfIAJ,Balancing Push and Pull for Broadcast Data,"S Acharya, M Franklin, S Zdonik","Proc. ACM SIGMOD Conf., Tucson, AZ, May,",0,dataset2
2,0,Hf3gZHIcm58J,Balancing Pushand PullforData broadcast,"S Acharya, M Franklin, S Zdonik","InProceedings of the ACM SIGMOD International Conference on  &hellip;,",0,dataset2
2,0,NDzryNtTyL8J,Pull for Broadcast Data,"S Acharya, M Franklin, S Zdonik, B Push","Proc. ACM SIGMOD Conf., Tucson, AZ, May,",0,dataset2
2,0,QCAu6wPhnAAJ,Balancing push and pull for data broadcast,"A Swarup, M Franklin, S Zdonik","Proceedings of the ACM SIGMOD Conference, Tucson-Arizona,  &hellip;,",0,dataset2
2,0,qdCTR7WpuFUJ,"Balancing push and pull for data broadcast,&quot;","M Franklin, S Zdonik","Proceedings of the ACM SIGMOD, May,",0,dataset2
